target,close,volume,day_HL,sma,ema,rsi,macd_line,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,Sentiment
-0.41575288246014525,1.3897371382254011,-0.22514428688959606,1.205484516622368,1.2252499138927395,1.240823359416532,1.2943465650683863,0.3370839325884427,0.37739081223469795,-0.040306879646255234,1.2252499138927395,2.329673478278319,0.1208263495071602,0.02853194
-2.8293102015992093,1.274550969037688,-0.12387715759494777,0.83409432575591,1.2717975728313813,1.2440355127137852,1.0483563684924808,0.298930412915156,0.3616987323707896,-0.0627683194556336,1.2717975728313813,2.295270055308837,0.2483250903539258,0.016304405
-1.9382244499367542,1.1956424600703834,0.18558490005120684,1.2393105711628156,1.307861042318605,1.2394266505572706,1.0221906863050085,0.2593367439325378,0.34122633468313923,-0.08188959075060143,1.307861042318605,2.261470023060503,0.3542520615767071,-0.03446138
4.079376842602816,1.3617210296478348,-0.1033683816057826,1.2466009476793338,1.3535946982419191,1.2510737342801814,1.0610151333813316,0.23860909151720566,0.3207028860499525,-0.08209379453274684,1.3535946982419191,2.2168295232229305,0.4903598732609076,0.003595731
3.250120828466631,1.4940391358126035,0.04252372958713999,1.3996403233427213,1.4055838965614424,1.2742132963308883,1.0519148839003174,0.2302055763956341,0.3026034241190888,-0.0723978477234547,1.4055838965614424,2.1590228532119835,0.6521449399109015,0.055098522
0.67676102677006,1.5215912614456024,-0.3084308263715934,0.7980486348920247,1.4523205869551976,1.2977731025322896,1.0011116662532373,0.2231960907936661,0.28672195745400425,-0.06352586666033816,1.4523205869551976,2.1005395391325665,0.8041016347778289,-0.008880898
3.7103918009204375,1.672647804306104,-0.2876837458850335,0.9717809794928054,1.5030398656938257,1.3334754550821768,0.8987040401203639,0.2272108779628348,0.2748197415557704,-0.04760886359293559,1.5030398656938257,2.03860815222756,0.9674715791600916,0.09380068
1.7422122080461189,1.7435763119131773,0.0664397299115828,1.4144745155073708,1.5315317785481577,1.372532679542272,1.001019573506091,0.2334251832980716,0.26654082990423067,-0.033115646606159066,1.5315317785481577,2.053802310920356,1.0092612461759596,0.063588
-4.135293272729215,1.5752212866196749,0.14889916366485736,2.2416455935476645,1.5528830779885794,1.3918363564067866,0.8331314976163303,0.2222037944826294,0.25767342281991046,-0.03546962833728107,1.5528830779885794,2.0431000597149818,1.062666096262177,0.05583564
0.6284772484400752,1.6008076951472832,-0.28978088969265875,1.296422619984686,1.571630114714039,1.4117383886677861,0.8152277717838029,0.21292095213674855,0.24872292868327808,-0.03580197654652953,1.571630114714039,2.037251029820013,1.106009199608065,0.0052323756
-3.053759503108199,1.4764838021415647,-0.6320541796275151,0.502488976263164,1.5764764615937128,1.4179046185224318,0.773845244999168,0.1933040448494998,0.23763915191652243,-0.04433510706702262,1.5764764615937128,2.035652937146438,1.1172999860409873,0.03195429
5.090022790022756,1.6837075367216343,-0.38721984486960914,0.7584993299577929,1.5846986132424714,1.4432191821604512,0.9824084439339678,0.19226244623084043,0.22856381077938606,-0.03630136454854563,1.5846986132424714,2.0454480346665656,1.1239491918183773,0.075300254
0.6833823403773729,1.7115292276179208,-0.14966559330378917,0.8790600207220544,1.577027629668843,1.4687725198230672,1.3234727710588101,0.1914747480543202,0.22114599823437292,-0.029671250180052733,1.577027629668843,2.0230029751339087,1.1310522842037773,0.044295818
-4.346763456194869,1.5345648811135224,-0.2879006549715219,1.3888237833741488,1.5666711689458412,1.4750384589935868,1.0858844806154537,0.17455874323128984,0.21182854723375633,-0.03726980400246649,1.5666711689458412,2.006118059592405,1.1272242782992774,0.030509287
-0.9497739190924658,1.4958979229012963,-0.24747068560172764,0.9302512572535598,1.5471109057928734,1.4770250746038447,1.0702599941971318,0.15623164599709982,0.20070916698642505,-0.044477520989325225,1.5471109057928734,1.9605609735488287,1.133660838036918,0.05527377
-6.419876077133223,1.2345335339534729,-0.049089387884124494,1.4551405066898242,1.5117909087736314,1.4539306421609521,0.9758516344938102,0.1192428106297787,0.18441589571509578,-0.06517308508531708,1.5117909087736314,1.9037167629608158,1.119865054586447,-0.031741433
-0.5872086315763078,1.2106272430324552,-0.16261980244254604,1.1143359358250366,1.476569858327731,1.430758889863,1.009352941277325,0.08699700688527456,0.16493211794913157,-0.077935111063857,1.476569858327731,1.8415934416907365,1.1115462749647254,0.013593562
4.235837141187615,1.3830755851480192,-0.397627163535353,0.5017186167990112,1.4598236128841737,1.4262176227472876,1.01327593303641,0.07449834455466497,0.14684536327023825,-0.07234701871557328,1.4598236128841737,1.80857906045256,1.1110681653157874,-0.011585478
1.6363195584229167,1.4496930176922243,-0.5252027295653935,0.6595789639617117,1.4708155504062592,1.4284533746468053,0.971256373346867,0.06917117245239002,0.1313105251066686,-0.062139352654278585,1.4708155504062592,1.8024921512054028,1.1391389496071156,0.12103763
-6.0956445819052485,1.2015286602730064,-0.31197831237997786,0.9959860600166592,1.4605588251410435,1.406841497087396,0.8184997540046293,0.04441259972967404,0.11393094003126969,-0.06951834030159565,1.4605588251410435,1.812647446809249,1.108470203472838,-0.09132482
1.3179927022311668,1.2551864494760285,-0.3034573971614257,0.632809904342303,1.4538312907035746,1.3923981592196466,0.7494273429269788,0.028789124516052977,0.09690257692822636,-0.06811345241217338,1.4538312907035746,1.8165976487795472,1.091064932627602,0.039174262
-4.977243020772962,1.0525541766502822,-0.07844564980336703,0.8762531293453418,1.4427314510842044,1.360032065641612,0.6156146870603905,5.6031009127543996e-05,0.07753326774440661,-0.07747723673527906,1.4427314510842044,1.8404923035559269,1.044970598612482,0.011944813
